@relation titanic_predicted

@attribute predictedSurvived {0,1}
@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {male,female}
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,Q}
@attribute Deck {A,B,C,D,E,F,T,G}
@attribute Title {Mr,Mrs,Miss,Master}
@attribute Familysize numeric
@attribute Age*Class numeric
@attribute FarePerPerson numeric

@data
0,?,3,male,24,0,0,7.775,S,?,Mr,0,72,7.775
0,?,2,male,57,0,0,13,S,?,Mr,0,114,13
0,?,3,male,21,0,0,7.75,Q,?,Mr,0,63,7.75
0,?,3,male,6,3,1,21.075,S,?,Master,4,18,4.215
0,?,1,male,23,0,0,93.5,S,B,Mr,0,23,93.5
1,?,1,female,51,0,1,39.4,S,D,Mrs,1,51,19.7
1,?,3,male,13,0,2,20.25,S,?,Master,2,39,6.75
0,?,2,male,47,0,0,10.5,S,?,Mr,0,94,10.5
0,?,3,male,29,3,1,22.025,S,?,Mr,4,87,4.405
1,?,1,female,18,1,0,60,S,C,Mrs,1,18,30
0,?,3,male,24,0,0,7.25,Q,?,Mr,0,72,7.25
1,?,1,female,48,1,1,79.2,C,B,Mrs,2,48,26.4
0,?,3,male,22,0,0,7.775,S,?,Mr,0,66,7.775
0,?,3,male,31,0,0,7.7333,Q,?,Mr,0,93,7.7333
1,?,1,female,30,0,0,164.8667,S,C,Miss,0,30,164.8667
0,?,2,male,38,1,0,21,S,?,Mr,1,76,10.5
1,?,1,female,22,0,1,59.4,C,?,Miss,1,22,29.7
0,?,1,male,17,0,0,47.1,S,?,Mr,0,17,47.1
0,?,1,male,43,1,0,27.7208,C,D,Mr,1,43,13.8604
0,?,2,male,20,0,0,13.8625,C,D,Mr,0,40,13.8625
0,?,2,male,23,1,0,10.5,S,?,Mr,1,46,5.25
0,?,1,male,50,1,1,211.5,C,C,Mr,2,50,70.5
1,?,3,female,21.774844,0,0,7.7208,Q,?,Miss,0,65.324531,7.7208
0,?,3,female,3,1,1,13.775,S,?,Miss,2,9,4.591667
1,?,3,female,21.774844,0,0,7.75,Q,?,Miss,0,65.324531,7.75
1,?,1,female,37,1,0,90,Q,C,Mrs,1,37,45
0,?,3,female,28,0,0,7.775,S,?,Miss,0,84,7.775
0,?,3,male,32,0,0,8.05,S,?,Mr,0,96,8.05
1,?,1,female,39,0,0,108.9,C,C,?,0,39,108.9
0,?,3,male,38.5,0,0,7.25,S,?,Mr,0,115.5,7.25
0,?,3,male,32,0,0,8.05,S,?,Mr,0,96,8.05
1,?,3,male,7.406471,1,1,22.3583,C,?,Master,2,22.219412,7.452767
