@RELATION titanic

@ATTRIBUTE class {0,1}
@ATTRIBUTE Pclass {1,2,3}
@ATTRIBUTE Sex {0,1}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE SibSp NUMERIC
@ATTRIBUTE Parch NUMERIC
@ATTRIBUTE Fare NUMERIC
@ATTRIBUTE embarked {C,Q,S}
@ATTRIBUTE familysize NUMERIC
@ATTRIBUTE fareperperson NUMERIC

@DATA
0,3,0,33,1,1,20.525,S,2,6.84166666667
1,2,0,8,1,1,36.75,S,2,12.25
1,1,0,17,0,2,110.8833,C,2,36.9611
0,2,0,27,0,0,26,S,0,26.0
0,3,0,?,0,0,7.8292,Q,0,7.8292
1,3,0,22,0,0,7.225,C,0,7.225
1,3,1,22,0,0,7.775,S,0,7.775
0,1,0,62,0,0,26.55,S,0,26.55
1,1,1,48,1,0,39.6,C,1,19.8
0,1,0,?,0,0,227.525,C,0,227.525
1,1,1,39,1,1,79.65,S,2,26.55
1,3,1,36,1,0,17.4,S,1,8.7
0,3,0,?,0,0,7.75,Q,0,7.75
0,3,0,40,0,0,7.8958,S,0,7.8958
0,2,0,28,0,0,13.5,S,0,13.5
0,3,0,?,0,0,8.05,S,0,8.05
0,3,1,?,0,0,8.05,S,0,8.05
0,3,0,24,2,0,24.15,S,2,8.05
0,3,0,19,0,0,7.8958,S,0,7.8958
0,3,1,29,0,4,21.075,S,4,4.215
0,3,0,?,0,0,7.2292,C,0,7.2292
1,3,0,32,0,0,7.8542,S,0,7.8542
1,2,0,62,0,0,10.5,S,0,10.5
1,1,1,53,2,0,51.4792,S,2,17.1597333333
1,1,0,36,0,0,26.3875,S,0,26.3875
1,3,1,?,0,0,7.75,Q,0,7.75
0,3,0,16,0,0,8.05,S,0,8.05
0,3,0,19,0,0,14.5,S,0,14.5
1,2,1,34,0,0,13,S,0,13.0
1,1,1,39,1,0,55.9,S,1,27.95
0,3,1,?,1,0,14.4583,C,1,7.22915
1,3,0,32,0,0,7.925,S,0,7.925
1,2,1,25,1,1,30,S,2,10.0
1,1,1,39,1,1,110.8833,C,2,36.9611
0,2,0,54,0,0,26,S,0,26.0
0,1,0,36,0,0,40.125,C,0,40.125
0,3,0,?,0,0,8.7125,C,0,8.7125
1,1,1,18,0,2,79.65,S,2,26.55
0,2,0,47,0,0,15,S,0,15.0
1,1,0,60,1,1,79.2,C,2,26.4
0,3,0,22,0,0,8.05,S,0,8.05
0,3,0,?,0,0,8.05,S,0,8.05
0,3,0,35,0,0,7.125,S,0,7.125
1,1,1,52,1,0,78.2667,C,1,39.13335
0,3,0,47,0,0,7.25,S,0,7.25
0,3,1,?,0,2,7.75,Q,2,2.58333333333
0,2,0,37,1,0,26,S,1,13.0
0,3,0,36,1,1,24.15,S,2,8.05
1,2,1,?,0,0,33,S,0,33.0
0,3,0,49,0,0,0,S,0,0.0
0,3,0,?,0,0,7.225,C,0,7.225
1,1,0,49,1,0,56.9292,C,1,28.4646
1,2,1,24,2,1,27,S,3,6.75
0,3,0,?,0,0,7.8958,S,0,7.8958
0,1,0,?,0,0,42.4,S,0,42.4
0,3,0,44,0,0,8.05,S,0,8.05
1,1,0,35,0,0,26.55,C,0,26.55
0,3,0,36,1,0,15.55,S,1,7.775
0,3,0,30,0,0,7.8958,S,0,7.8958
1,1,0,27,0,0,30.5,S,0,30.5
1,2,1,22,1,2,41.5792,C,3,10.3948
1,1,1,40,0,0,153.4625,S,0,153.4625
0,3,1,39,1,5,31.275,S,6,4.46785714286
0,3,0,?,0,0,7.05,S,0,7.05
1,3,1,?,1,0,15.5,Q,1,7.75
0,3,0,?,0,0,7.75,Q,0,7.75
0,3,0,35,0,0,8.05,S,0,8.05
1,2,1,24,1,2,65,S,3,16.25
0,3,0,34,1,1,14.4,S,2,4.8
0,3,1,26,1,0,16.1,S,1,8.05
1,2,1,4,2,1,39,S,3,9.75
0,2,0,26,0,0,10.5,S,0,10.5
0,3,0,27,1,0,14.4542,C,1,7.2271
1,1,0,42,1,0,52.5542,S,1,26.2771
1,3,0,20,1,1,15.7417,C,2,5.24723333333
0,3,0,21,0,0,7.8542,S,0,7.8542
0,3,0,21,0,0,16.1,S,0,16.1
0,1,0,61,0,0,32.3208,S,0,32.3208
0,2,0,57,0,0,12.35,Q,0,12.35
1,1,1,21,0,0,77.9583,S,0,77.9583
0,3,0,26,0,0,7.8958,S,0,7.8958
0,3,0,?,0,0,7.7333,Q,0,7.7333
1,1,0,80,0,0,30,S,0,30.0
0,3,0,51,0,0,7.0542,S,0,7.0542
1,1,0,32,0,0,30.5,C,0,30.5
0,1,0,?,0,0,0,S,0,0.0
0,3,1,9,3,2,27.9,S,5,4.65
1,2,1,28,0,0,13,S,0,13.0
0,3,0,32,0,0,7.925,S,0,7.925
0,2,0,31,1,1,26.25,S,2,8.75
0,3,1,41,0,5,39.6875,S,5,6.61458333333
0,3,0,?,1,0,16.1,S,1,8.05
0,3,0,20,0,0,7.8542,S,0,7.8542
1,1,1,24,0,0,69.3,C,0,69.3
0,3,1,2,3,2,27.9,S,5,4.65
1,3,0,?,0,0,56.4958,S,0,56.4958
1,3,1,0.75,2,1,19.2583,C,3,4.814575
1,1,0,48,1,0,76.7292,C,1,38.3646
0,3,0,19,0,0,7.8958,S,0,7.8958
1,1,0,56,0,0,35.5,C,0,35.5
0,3,0,?,0,0,7.55,S,0,7.55
1,3,1,23,0,0,7.55,S,0,7.55
0,3,0,?,0,0,7.8958,S,0,7.8958
1,2,1,18,0,1,23,S,1,11.5
0,3,0,21,0,0,8.4333,S,0,8.4333
1,3,1,?,0,0,7.8292,Q,0,7.8292
0,3,1,18,0,0,6.75,Q,0,6.75
0,2,0,24,2,0,73.5,S,2,24.5
0,3,0,?,0,0,7.8958,S,0,7.8958
0,3,1,32,1,1,15.5,Q,2,5.16666666667
0,2,0,23,0,0,13,S,0,13.0
0,1,0,58,0,2,113.275,C,2,37.7583333333
1,1,0,50,2,0,133.65,S,2,44.55
0,3,0,40,0,0,7.225,C,0,7.225
0,1,0,47,0,0,25.5875,S,0,25.5875
0,3,0,36,0,0,7.4958,S,0,7.4958
1,3,0,20,1,0,7.925,S,1,3.9625
0,2,0,32,2,0,73.5,S,2,24.5
0,2,0,25,0,0,13,S,0,13.0
0,3,0,?,0,0,7.775,S,0,7.775
0,3,0,43,0,0,8.05,S,0,8.05
1,1,1,?,1,0,52,S,1,26.0
1,2,1,40,1,1,39,S,2,13.0
0,1,0,31,1,0,52,S,1,26.0
0,2,0,70,0,0,10.5,S,0,10.5
1,2,0,31,0,0,13,S,0,13.0
0,2,0,?,0,0,0,S,0,0.0
0,3,0,18,0,0,7.775,S,0,7.775
0,3,0,24.5,0,0,8.05,S,0,8.05
1,3,1,18,0,0,9.8417,S,0,9.8417
0,3,1,43,1,6,46.9,S,7,5.8625
1,1,0,36,0,1,512.3292,C,1,256.1646
0,3,1,?,0,0,8.1375,Q,0,8.1375
1,1,0,27,0,0,76.7292,C,0,76.7292
0,3,0,20,0,0,9.225,S,0,9.225
0,3,0,14,5,2,46.9,S,7,5.8625
0,2,0,60,1,1,39,S,2,13.0
0,2,0,25,1,2,41.5792,C,3,10.3948
0,3,0,14,4,1,39.6875,S,5,6.61458333333
0,3,0,19,0,0,10.1708,S,0,10.1708
0,3,0,18,0,0,7.7958,S,0,7.7958
1,1,1,15,0,1,211.3375,S,1,105.66875
1,1,0,31,1,0,57,S,1,28.5
1,3,1,4,0,1,13.4167,C,1,6.70835
1,3,0,?,0,0,56.4958,S,0,56.4958
0,3,0,25,0,0,7.225,C,0,7.225
0,1,0,60,0,0,26.55,S,0,26.55
0,2,0,52,0,0,13.5,S,0,13.5
0,3,0,44,0,0,8.05,S,0,8.05
1,3,1,?,0,0,7.7333,Q,0,7.7333
0,1,0,49,1,1,110.8833,C,2,36.9611
0,3,0,42,0,0,7.65,S,0,7.65
1,1,1,18,1,0,227.525,C,1,113.7625
1,1,0,35,0,0,26.2875,S,0,26.2875
0,3,1,18,0,1,14.4542,C,1,7.2271
0,3,0,25,0,0,7.7417,Q,0,7.7417
0,3,0,26,1,0,7.8542,S,1,3.9271
0,2,0,39,0,0,26,S,0,26.0
1,2,1,45,0,0,13.5,S,0,13.5
1,1,0,42,0,0,26.2875,S,0,26.2875
1,1,1,22,0,0,151.55,S,0,151.55
1,3,0,?,1,1,15.2458,C,2,5.08193333333
1,1,1,24,0,0,49.5042,C,0,49.5042
0,1,0,?,0,0,26.55,S,0,26.55
1,1,0,48,1,0,52,S,1,26.0
0,3,0,29,0,0,9.4833,S,0,9.4833
0,2,0,52,0,0,13,S,0,13.0
0,3,0,19,0,0,7.65,S,0,7.65
1,1,1,38,0,0,227.525,C,0,227.525
1,2,1,27,0,0,10.5,S,0,10.5
0,3,0,?,0,0,15.5,Q,0,15.5
0,3,0,33,0,0,7.775,S,0,7.775
1,2,1,6,0,1,33,S,1,16.5
0,3,0,17,1,0,7.0542,S,1,3.5271
0,2,0,34,0,0,13,S,0,13.0
0,2,0,50,0,0,13,S,0,13.0
1,1,0,27,1,0,53.1,S,1,26.55
0,3,0,20,0,0,8.6625,S,0,8.6625
1,2,1,30,3,0,21,S,3,5.25
1,3,1,?,0,0,7.7375,Q,0,7.7375
0,2,0,25,1,0,26,S,1,13.0
0,3,1,25,1,0,7.925,S,1,3.9625
1,1,1,29,0,0,211.3375,S,0,211.3375
0,3,0,11,0,0,18.7875,C,0,18.7875
0,2,0,?,0,0,0,S,0,0.0
0,2,0,23,0,0,13,S,0,13.0
0,2,0,23,0,0,13,S,0,13.0
0,3,0,28.5,0,0,16.1,S,0,16.1
0,3,1,48,1,3,34.375,S,4,6.875
1,1,0,35,0,0,512.3292,C,0,512.3292
0,3,0,?,0,0,7.8958,S,0,7.8958
0,3,0,?,0,0,7.8958,S,0,7.8958
1,1,0,?,0,0,30,S,0,30.0
0,1,0,36,1,0,78.85,S,1,39.425
1,1,1,21,2,2,262.375,C,4,52.475
0,3,0,24,1,0,16.1,S,1,8.05
1,3,0,31,0,0,7.925,S,0,7.925
0,1,0,70,1,1,71,S,2,23.6666666667
0,3,0,16,1,1,20.25,S,2,6.75
1,2,1,30,0,0,13,S,0,13.0
0,1,0,19,1,0,53.1,S,1,26.55
0,3,0,31,0,0,7.75,Q,0,7.75
1,2,1,4,1,1,23,S,2,7.66666666667
1,3,0,6,0,1,12.475,S,1,6.2375
0,3,0,33,0,0,9.5,S,0,9.5
0,3,0,23,0,0,7.8958,S,0,7.8958
1,2,1,48,1,2,65,S,3,16.25
1,2,0,0.67,1,1,14.5,S,2,4.83333333333
0,3,0,28,0,0,7.7958,S,0,7.7958
0,2,0,18,0,0,11.5,S,0,11.5
0,3,0,34,0,0,8.05,S,0,8.05
1,1,1,33,0,0,86.5,S,0,86.5
0,3,0,?,0,0,14.5,S,0,14.5
0,3,0,41,0,0,7.125,S,0,7.125
1,3,0,20,0,0,7.2292,C,0,7.2292
1,1,1,36,1,2,120,S,3,30.0
0,3,0,16,0,0,7.775,S,0,7.775
1,1,1,51,1,0,77.9583,S,1,38.97915
0,1,0,?,0,0,39.6,C,0,39.6
0,3,1,30.5,0,0,7.75,Q,0,7.75
0,3,0,?,1,0,24.15,Q,1,12.075
0,3,0,32,0,0,8.3625,S,0,8.3625
0,3,0,24,0,0,9.5,S,0,9.5
0,3,0,48,0,0,7.8542,S,0,7.8542
0,2,1,57,0,0,10.5,S,0,10.5
0,3,0,?,0,0,7.225,C,0,7.225
1,2,1,54,1,3,23,S,4,4.6
0,3,0,18,0,0,7.75,S,0,7.75
0,3,0,?,0,0,7.75,Q,0,7.75
1,3,1,5,0,0,12.475,S,0,12.475
0,3,0,?,0,0,7.7375,Q,0,7.7375
1,1,1,43,0,1,211.3375,S,1,105.66875
1,3,1,13,0,0,7.2292,C,0,7.2292
1,1,1,17,1,0,57,S,1,28.5
0,1,0,29,0,0,30,S,0,30.0
0,3,0,?,1,2,23.45,S,3,5.8625
0,3,0,25,0,0,7.05,S,0,7.05
0,3,0,25,0,0,7.25,S,0,7.25
1,3,1,18,0,0,7.4958,S,0,7.4958
0,3,0,8,4,1,29.125,Q,5,4.85416666667
1,3,0,1,1,2,20.575,S,3,5.14375
0,1,0,46,0,0,79.2,C,0,79.2
0,3,0,?,0,0,7.75,Q,0,7.75
0,2,0,16,0,0,26,S,0,26.0
0,3,1,?,8,2,69.55,S,10,6.32272727273
0,1,0,?,0,0,30.6958,C,0,30.6958
0,3,0,25,0,0,7.8958,S,0,7.8958
0,2,0,39,0,0,13,S,0,13.0
1,1,1,49,0,0,25.9292,S,0,25.9292
1,3,1,31,0,0,8.6833,S,0,8.6833
0,3,0,30,0,0,7.2292,C,0,7.2292
0,3,1,30,1,1,24.15,S,2,8.05
0,2,0,34,0,0,13,S,0,13.0
1,2,1,31,1,1,26.25,S,2,8.75
1,1,0,11,1,2,120,S,3,30.0
1,3,0,0.42,0,1,8.5167,C,1,4.25835
1,3,0,27,0,0,6.975,S,0,6.975
0,3,0,31,0,0,7.775,S,0,7.775
0,1,0,39,0,0,0,S,0,0.0
0,3,1,18,0,0,7.775,S,0,7.775
0,2,0,39,0,0,13,S,0,13.0
1,1,1,33,1,0,53.1,S,1,26.55
0,3,0,26,0,0,7.8875,S,0,7.8875
0,3,0,39,0,0,24.15,S,0,24.15
0,2,0,35,0,0,10.5,S,0,10.5
0,3,1,6,4,2,31.275,S,6,4.46785714286
0,3,0,30.5,0,0,8.05,S,0,8.05
0,1,0,?,0,0,0,S,0,0.0
0,3,1,23,0,0,7.925,S,0,7.925
0,2,0,31,1,1,37.0042,C,2,12.3347333333
0,3,0,43,0,0,6.45,S,0,6.45
0,3,0,10,3,2,27.9,S,5,4.65
1,1,1,52,1,1,93.5,S,2,31.1666666667
1,3,0,27,0,0,8.6625,S,0,8.6625
0,1,0,38,0,0,0,S,0,0.0
1,3,1,27,0,1,12.475,S,1,6.2375
0,3,0,2,4,1,39.6875,S,5,6.61458333333
0,3,0,?,0,0,6.95,Q,0,6.95
0,3,0,?,0,0,56.4958,S,0,56.4958
1,2,0,1,0,2,37.0042,C,2,12.3347333333
1,3,0,?,0,0,7.75,Q,0,7.75
1,1,1,62,0,0,80,?,0,80.0
1,3,1,15,1,0,14.4542,C,1,7.2271
1,2,0,0.83,1,1,18.75,S,2,6.25
0,3,0,?,0,0,7.2292,C,0,7.2292
0,3,0,23,0,0,7.8542,S,0,7.8542
0,3,0,18,0,0,8.3,S,0,8.3
1,1,1,39,1,1,83.1583,C,2,27.7194333333
0,3,0,21,0,0,8.6625,S,0,8.6625
0,3,0,?,0,0,8.05,S,0,8.05
1,3,0,32,0,0,56.4958,S,0,56.4958
1,1,0,?,0,0,29.7,C,0,29.7
0,3,0,20,0,0,7.925,S,0,7.925
0,2,0,16,0,0,10.5,S,0,10.5
1,1,1,30,0,0,31,C,0,31.0
0,3,0,34.5,0,0,6.4375,C,0,6.4375
0,3,0,17,0,0,8.6625,S,0,8.6625
0,3,0,42,0,0,7.55,S,0,7.55
0,3,0,?,8,2,69.55,S,10,6.32272727273
0,3,0,35,0,0,7.8958,C,0,7.8958
0,2,0,28,0,1,33,S,1,16.5
1,1,1,?,1,0,89.1042,C,1,44.5521
0,3,0,4,4,2,31.275,S,6,4.46785714286
0,3,0,74,0,0,7.775,S,0,7.775
0,3,1,9,1,1,15.2458,C,2,5.08193333333
1,1,1,16,0,1,39.4,S,1,19.7
0,2,1,44,1,0,26,S,1,13.0
1,3,1,18,0,1,9.35,S,1,4.675
1,1,1,45,1,1,164.8667,S,2,54.9555666667
1,1,0,51,0,0,26.55,S,0,26.55
1,3,1,24,0,3,19.2583,C,3,4.814575
0,3,0,?,0,0,7.2292,C,0,7.2292
0,3,0,41,2,0,14.1083,S,2,4.70276666667
0,2,0,21,1,0,11.5,S,1,5.75
1,1,1,48,0,0,25.9292,S,0,25.9292
0,3,1,?,8,2,69.55,S,10,6.32272727273
0,2,0,24,0,0,13,S,0,13.0
1,2,1,42,0,0,13,S,0,13.0
1,2,1,27,1,0,13.8583,C,1,6.92915
0,1,0,31,0,0,50.4958,S,0,50.4958
0,3,0,?,0,0,9.5,S,0,9.5
1,3,0,4,1,1,11.1333,S,2,3.7111
0,3,0,26,0,0,7.8958,S,0,7.8958
1,1,1,47,1,1,52.5542,S,2,17.5180666667
0,1,0,33,0,0,5,S,0,5.0
0,3,0,47,0,0,9,S,0,9.0
1,2,1,28,1,0,24,C,1,12.0
1,3,1,15,0,0,7.225,C,0,7.225
0,3,0,20,0,0,9.8458,S,0,9.8458
0,3,0,19,0,0,7.8958,S,0,7.8958
0,3,0,?,0,0,7.8958,S,0,7.8958
1,1,1,56,0,1,83.1583,C,1,41.57915
1,2,1,25,0,1,26,S,1,13.0
0,3,0,33,0,0,7.8958,S,0,7.8958
0,3,1,22,0,0,10.5167,S,0,10.5167
0,2,0,28,0,0,10.5,S,0,10.5
0,3,0,25,0,0,7.05,S,0,7.05
0,3,1,39,0,5,29.125,Q,5,4.85416666667
0,2,0,27,0,0,13,S,0,13.0
1,1,1,19,0,0,30,S,0,30.0
0,3,1,?,1,2,23.45,S,3,5.8625
1,1,0,26,0,0,30,C,0,30.0
0,3,0,32,0,0,7.75,Q,0,7.75
